Detection 01,4,18:48.9,,,,,,,,,,,,,,,,,
Unknown,Insulator,BurnMark,,,,,,,,,,,,,,,,,
1,0,1473,0,509,2149,0.894210458,1,,,,,,,,,,,,
2,33,1473,0,506,2146,0.908510029,1,,,,,,,,,,,,
3,66,1475,2,500,2145,0.903131068,1,,,,,,,,,,,,
4,100,1472,2,502,2147,0.909397423,1,,,,,,,,,,,,
5,133,1473,24,501,2122,0.898978114,1,,,,,,,,,,,,
6,166,1472,38,500,2102,0.919363558,1,,,,,,,,,,,,
7,200,1468,32,494,2111,0.936884463,1,,,,,,,,,,,,
8,233,1466,39,491,2104,0.947039127,1,,,,,,,,,,,,
9,266,1467,55,486,2085,0.950956881,1,,,,,,,,,,,,
10,300,1462,65,486,2073,0.953338027,1,,,,,,,,,,,,
11,333,1454,80,495,2050,0.955913782,1,,,,,,,,,,,,
12,367,1447,89,498,2044,0.959376097,1,,,,,,,,,,,,
13,400,1446,99,493,2036,0.962138951,1,,,,,,,,,,,,
14,433,1438,102,499,2035,0.965994895,1,,,,,,,,,,,,
15,467,1435,113,499,2023,0.973146558,1,,,,,,,,,,,,
16,500,1433,131,500,2005,0.978968143,1,,,,,,,,,,,,
17,533,1430,143,503,1992,0.979693592,1,1611,129,155,160,0.666625559,2,,,,,,
18,567,1433,153,498,1983,0.97937423,1,1612,139,155,159,0.835268676,2,,,,,,
19,600,1433,164,499,1974,0.978631377,1,1613,148,151,156,0.633586824,2,,,,,,
20,633,1434,173,497,1966,0.978784978,1,1607,156,150,155,0.708302796,2,,,,,,
21,667,1436,185,497,1958,0.977781653,1,,,,,,,,,,,,
22,700,1437,189,494,1956,0.977510095,1,1605,176,152,157,0.892557323,2,,,,,,
23,734,1441,194,491,1949,0.976376414,1,1606,185,156,158,0.860900521,2,,,,,,
24,767,1446,204,489,1939,0.974249005,1,1605,192,155,164,0.904846728,2,,,,,,
25,800,1448,213,489,1927,0.972817302,1,1604,200,160,166,0.918535948,2,,,,,,
26,834,1452,223,489,1916,0.971477091,1,1612,212,152,159,0.709276676,2,,,,,,
27,867,1456,232,487,1906,0.970302284,1,1612,214,158,167,0.8204934,2,,,,,,
28,900,1457,238,485,1900,0.969246209,1,1613,220,161,168,0.802196085,2,,,,,,
29,934,1464,245,482,1892,0.967506289,1,1615,224,161,170,0.586227119,2,,,,,,
30,967,1466,246,482,1891,0.966926873,1,1621,231,157,164,0.755023658,2,,,,,,
31,1000,1471,246,483,1890,0.965574384,1,1623,229,157,174,0.888020813,2,,,,,,
32,1034,1473,247,485,1890,0.964394569,1,1624,231,161,174,0.882320642,2,,,,,,
33,1067,1476,250,486,1886,0.963182986,1,1626,230,160,177,0.851324558,2,,,,,,
34,1101,1475,251,490,1885,0.962805331,1,1630,232,161,174,0.833856463,2,,,,,,
35,1134,1477,253,492,1884,0.96280849,1,1634,238,159,169,0.867108941,2,,,,,,
36,1167,1478,255,494,1881,0.962755263,1,1636,230,159,180,0.758847952,2,,,,,,
37,1201,1480,255,495,1881,0.963131964,1,1639,233,160,178,0.822574139,2,,,,,,
38,1234,1482,260,493,1873,0.964092791,1,1643,236,158,176,0.70503664,2,,,,,,
39,1267,1483,262,495,1872,0.964816988,1,1645,239,160,174,0.787467301,2,,,,,,
40,1301,1485,264,496,1869,0.966030955,1,1650,243,157,169,0.656191349,2,,,,,,
41,1334,1486,265,499,1870,0.967007518,1,1653,247,161,165,0.835940182,2,,,,,,
42,1368,1488,268,503,1867,0.968616366,1,1656,252,160,162,0.811297774,2,,,,,,
43,1401,1490,267,504,1869,0.970661521,1,1657,248,156,165,0.613649845,2,,,,,,
44,1434,1491,268,506,1870,0.971648812,1,1659,251,157,163,0.66850239,2,,,,,,
